playerID,country,RandomizedBirthDate,gender,playerState,wantsCommunication,wantsSMS,wantsBonus,welcomeOffer
116004723,AT,31900,FEMALE,VALIDATED,0,0,0,CASINO
116008056,SE,33701,MALE,VALIDATED,0,0,0,CASINO
116010104,SE,22335,MALE,VALIDATED,1,1,1,CASINO
116015483,SE,24782,MALE,VALIDATED,1,1,1,CASINO
116018788,SE,22990,FEMALE,VALIDATED,1,1,1,CASINO
116018807,SE,34604,UNSPECIFIED,VALIDATED,0,0,0,CASINO
116021116,NO,30732,MALE,VALIDATED,1,1,1,CASINO
116023410,SE,28571,MALE,VALIDATED,0,1,1,CASINO
116025440,GB,29193,FEMALE,VALIDATED,1,1,1,CASINO
116025700,SE,32679,FEMALE,VALIDATED,0,1,1,CASINO
116026471,SE,29567,FEMALE,VALIDATED,1,1,1,CASINO
116026491,NO,34990,MALE,VALIDATED,1,0,1,CASINO
116027757,SE,19812,FEMALE,VALIDATED,1,1,1,CASINO
116033915,AT,25831,FEMALE,VALIDATED,1,1,0,CASINO
116034932,SE,25595,UNSPECIFIED,VALIDATED,0,0,1,CASINO
116035955,SE,24054,FEMALE,VALIDATED,1,1,1,CASINO
116037491,SE,31545,MALE,VALIDATED,1,1,1,CASINO
116039039,GB,32755,MALE,VALIDATED,1,0,1,CASINO
116039551,SE,34580,MALE,VALIDATED,0,0,0,CASINO
116040034,SE,18053,FEMALE,VALIDATED,1,1,1,CASINO
116040561,SE,26813,MALE,VALIDATED,1,1,1,CASINO
116043893,SE,30317,UNSPECIFIED,VALIDATED,1,1,1,CASINO
116045664,NO,31951,FEMALE,VALIDATED,1,1,1,CASINO
116046692,SE,31549,MALE,VALIDATED,0,1,1,CASINO
116047714,SE,30523,FEMALE,VALIDATED,1,1,1,CASINO
116048492,GB,25589,FEMALE,VALIDATED,1,1,1,CASINO
116051835,SE,16522,MALE,VALIDATED,1,1,1,CASINO
116053618,SE,32342,FEMALE,VALIDATED,1,1,1,CASINO
116053877,SE,23369,UNSPECIFIED,VALIDATED,1,0,1,CASINO
116053879,SE,24414,UNSPECIFIED,VALIDATED,1,1,1,CASINO
116055923,FI,31115,MALE,VALIDATED,1,0,1,CASINO
116058225,SE,30542,MALE,VALIDATED,1,1,1,CASINO
116059489,SE,32090,MALE,VALIDATED,0,1,0,CASINO
116060024,SE,32331,MALE,VALIDATED,1,1,1,CASINO
116062837,SE,26996,UNSPECIFIED,VALIDATED,1,0,1,CASINO
116066413,GB,31222,FEMALE,VALIDATED,1,1,1,CASINO
116066935,FI,27865,MALE,VALIDATED,1,0,1,CASINO
116068965,SE,30095,FEMALE,VALIDATED,1,0,1,CASINO
116071012,NO,33834,MALE,VALIDATED,1,1,1,CASINO
116074865,FI,26945,FEMALE,VALIDATED,0,0,0,CASINO
116078708,SE,32479,FEMALE,VALIDATED,0,1,1,CASINO
116078960,SE,29710,MALE,VALIDATED,0,0,0,CASINO
116081524,SE,31640,UNSPECIFIED,VALIDATED,1,1,1,CASINO
116084344,SE,24446,MALE,VALIDATED,1,1,1,CASINO
116088173,NO,20749,MALE,VALIDATED,1,1,1,CASINO
116088956,SE,31147,FEMALE,VALIDATED,1,1,1,CASINO
116091519,SE,32950,FEMALE,VALIDATED,1,0,1,CASINO
116091748,SE,18044,FEMALE,VALIDATED,1,1,1,CASINO
116092535,SE,32884,MALE,VALIDATED,1,1,1,CASINO
116099685,SE,29500,FEMALE,VALIDATED,1,1,1,CASINO
116099967,FI,33152,MALE,VALIDATED,1,1,0,CASINO
